#time volume price
1501604700.0 15089.0 146.069
1501604760.0 11798.0 146.03
1501604820.0 21578.0 146.02
1501604880.0 37930.0 145.971
1501604940.0 33001.0 145.981
1501605000.0 30675.0 146.001
1501605060.0 39359.0 145.961
1501605120.0 32896.0 146.05
1501605180.0 45509.0 146.104
1501605240.0 27867.0 146.113
1501605300.0 19712.0 146.096
1501605360.0 23000.0 146.104
1501605420.0 33214.0 146.138
1501605480.0 48419.0 146.168
1501605540.0 38056.0 146.109
1501605600.0 14218.0 146.138
1501605660.0 13580.0 146.158
1501605720.0 25990.0 146.158
1501605780.0 18905.0 146.181
1501605840.0 14655.0 146.177
1501605900.0 27953.0 146.107
1501605960.0 25888.0 146.055
1501606020.0 10034.0 146.069
1501606080.0 20787.0 146.089
1501606140.0 13717.0 146.113
1501606200.0 33545.0 146.104
1501606260.0 20088.0 146.148
1501606320.0 19032.0 146.153
1501606380.0 108112.0 146.207
1501606440.0 22653.0 146.187
1501606500.0 26272.0 146.202
1501606560.0 63036.0 146.243
1501606620.0 17288.0 146.246
1501606680.0 12857.0 146.226
1501606740.0 10299.0 146.243
1501606800.0 33201.0 146.256
1501606860.0 33854.0 146.236
1501606920.0 16746.0 146.281
1501606980.0 50936.0 146.334
1501607040.0 56368.0 146.349
1501607100.0 41365.0 146.227
1501607160.0 22437.0 146.217
1501607220.0 16977.0 146.25
1501607280.0 19041.0 146.231
1501607340.0 39724.0 146.244
1501607400.0 31590.0 146.295
1501607460.0 72101.0 146.223
1501607520.0 15452.0 146.256
1501607580.0 14914.0 146.275
1501607640.0 68067.0 146.167
1501607700.0 68421.0 146.22
1501607760.0 34877.0 146.295
1501607820.0 40541.0 146.261
1501607880.0 26945.0 146.291
1501607940.0 11399.0 146.282
1501608000.0 16999.0 146.266
1501608060.0 20362.0 146.305
1501608120.0 17349.0 146.285
1501608180.0 24535.0 146.246
1501608240.0 22811.0 146.226
1501608300.0 22452.0 146.275
1501608360.0 13316.0 146.275
1501608420.0 86622.0 146.167
1501608480.0 10996.0 146.236
1501608540.0 15392.0 146.207
1501608600.0 21097.0 146.187
1501608660.0 27818.0 146.164
1501608720.0 31220.0 146.236
1501608780.0 24349.0 146.187
1501608840.0 13745.0 146.207
1501608900.0 25712.0 146.158
1501608960.0 111376.0 146.197
1501609020.0 16445.0 146.207
1501609080.0 19741.0 146.231
1501609140.0 21657.0 146.229
1501609200.0 19528.0 146.217
1501609260.0 11946.0 146.22
1501609320.0 7419.0 146.246
1501609380.0 35292.0 146.217
1501609440.0 16283.0 146.217
1501609500.0 31766.0 146.182
1501609560.0 8734.0 146.182
1501609620.0 17479.0 146.167
1501609680.0 23682.0 146.187
1501609740.0 15332.0 146.231
1501609800.0 17285.0 146.244
1501609860.0 18176.0 146.229
1501609920.0 36786.0 146.286
1501609980.0 37699.0 146.256
1501610040.0 24699.0 146.236
1501610100.0 17143.0 146.267
1501610160.0 30773.0 146.217
1501610220.0 46656.0 146.246
1501610280.0 12209.0 146.236
1501610340.0 40082.0 146.23
1501610400.0 30068.0 146.236
1501610460.0 12822.0 146.256
1501610520.0 34362.0 146.295
1501610580.0 29165.0 146.256
1501610640.0 12652.0 146.287
1501610700.0 25553.0 146.261
1501610760.0 28087.0 146.284
1501610820.0 37029.0 146.232
1501610880.0 23308.0 146.285
1501610940.0 18891.0 146.275
1501611000.0 30387.0 146.226
1501611060.0 54502.0 146.207
1501611120.0 13337.0 146.217
1501611180.0 24563.0 146.236
1501611240.0 29820.0 146.266
1501611300.0 28025.0 146.256
1501611360.0 61511.0 146.266
1501611420.0 92236.0 146.236
1501611480.0 20975.0 146.256
1501611540.0 29357.0 146.261
1501611600.0 32752.0 146.256
1501611660.0 23212.0 146.265
1501611720.0 90910.0 146.31
1501611780.0 62211.0 146.337
1501611840.0 88945.0 146.393
1501611900.0 102734.0 146.432
1501611960.0 35868.0 146.375
1501612020.0 28584.0 146.374
1501612080.0 101774.0 146.481
1501612140.0 96903.0 146.511
1501612200.0 44288.0 146.452
1501612260.0 30262.0 146.473
1501612320.0 55311.0 146.412
1501612380.0 54305.0 146.374
1501612440.0 97233.0 146.285
1501612500.0 27955.0 146.305
1501612560.0 22782.0 146.324
1501612620.0 25302.0 146.374
1501612680.0 15058.0 146.344
1501612740.0 32569.0 146.364
1501612800.0 27520.0 146.383
1501612860.0 25222.0 146.398
1501612920.0 58112.0 146.442
1501612980.0 40335.0 146.424
1501613040.0 39712.0 146.424
1501613100.0 22770.0 146.393
1501613160.0 28210.0 146.374
1501613220.0 24722.0 146.383
1501613280.0 24532.0 146.393
1501613340.0 45471.0 146.422
1501613400.0 24098.0 146.413
1501613460.0 50580.0 146.374
1501613520.0 25991.0 146.413
1501613580.0 41954.0 146.432
1501613640.0 35103.0 146.481
1501613700.0 51502.0 146.501
1501613760.0 38443.0 146.472
1501613820.0 22207.0 146.452
1501613880.0 29938.0 146.472
1501613940.0 49534.0 146.514
1501614000.0 49681.0 146.54
1501614060.0 73263.0 146.599
1501614120.0 65224.0 146.529
1501614180.0 50015.0 146.491
1501614240.0 54747.0 146.432
1501614300.0 58412.0 146.374
1501614360.0 52084.0 146.377
1501614420.0 90972.0 146.423
1501614480.0 43125.0 146.374
1501614540.0 37164.0 146.354
1501614600.0 74570.0 146.413
1501614660.0 43132.0 146.423
1501614720.0 64115.0 146.388
1501614780.0 47846.0 146.329
1501614840.0 54126.0 146.319
1501614900.0 75894.0 146.354
1501614960.0 54329.0 146.334
1501615020.0 38511.0 146.285
1501615080.0 49880.0 146.246
1501615140.0 43117.0 146.255
1501615200.0 61939.0 146.217
1501615260.0 87165.0 146.197
1501615320.0 60668.0 146.275
1501615380.0 80176.0 146.378
1501615440.0 82918.0 146.413
1501615500.0 52943.0 146.383
1501615560.0 43276.0 146.388
1501615620.0 79810.0 146.393
1501615680.0 64828.0 146.404
1501615740.0 59663.0 146.374
1501615800.0 65786.0 146.481
1501615860.0 54206.0 146.442
1501615920.0 94689.0 146.398
1501615980.0 27957.0 146.433
1501616040.0 33567.0 146.408
1501616100.0 60216.0 146.427
1501616160.0 127235.0 146.491
1501616220.0 242572.0 146.638
1501616280.0 157592.0 146.697
1501616340.0 81873.0 146.741
1501616400.0 97716.0 146.692
1501616460.0 88557.0 146.751
1501616520.0 105331.0 146.771
1501616580.0 188938.0 146.898
1501616640.0 155829.0 146.962
1501616700.0 129632.0 146.957
1501616760.0 155022.0 146.967
1501616820.0 133173.0 147.051
1501616880.0 139902.0 146.991
1501616940.0 108644.0 147.07
1501617000.0 164553.0 146.913
1501617060.0 148603.0 146.894
1501617120.0 145611.0 146.835
1501617180.0 135869.0 146.864
